id,categoria
1,Scotch Whiskies
2,Straight Bourbon Whiskies
3,Blended Whiskies
4,Imported Dry Gins
5,Decanters & Specialty Packages
6,Vodka 80 Proof
7,Vodka Flavored
8,Puerto Rico & Virgin Islands Rum
9,Canadian Whiskies
10,Spiced Rum
11,Single Malt Scotch
12,Private Label Brandy
13,Miscellaneous  Brandies
14,American Cocktails
15,Imported Grape Brandies
16,Coffee Liqueurs
17,American Dry Gins
18,Imported Ale
19,Imported Vodka
20,Whiskey Liqueur
21,Private Label Canadian Whisky
22,Irish Whiskies
23,Straight Rye Whiskies
24,Flavored Rum
25,Sample
26,Japanese Whisky
27,Bottled In Bond Bourbon
28,Miscellaneous Schnapps
29,Private Label Bourbon
30,Single Barrel Bourbon Whiskies
31,Distilled Spirits Specialty
32,Tennessee Whiskies
33,Private Label Blended Whiskey
34,Misc. American Cordials & Liqueurs
35,Private Label Blend Whisky
36,Cream Liqueurs
37,Peppermint Schnapps
38,Corn Whiskies
39,American Alcohol
40,Flavored Gins
41,Private Label Gin
42,Imported Vodka - Misc
43,Misc. Imported Cordials & Liqueurs
44,American Sloe Gins
45,Tequila
46,Private Label Vodka
47,100 Proof Vodka
48,Private Label Low Proof Vodka
49,Other Proof Vodka
50,Low Proof Vodka
51,Jamaica Rum
52,Barbados Rum
53,Private Label Rum
54,American Rums
55,American Grape Brandies
56,Apricot Brandies
57,Blackberry Brandies
58,Cherry Brandies
59,Peach Brandies
60,Schnapps - Imported
61,Imported Schnapps
62,Imported Amaretto
63,Triple Sec
64,Private Label Scotch
65,Private Label Cream Liqueur
66,Cinnamon Schnapps
67,Private Label Amaretto
68,Private Label Cordials & Liqueu
69,Private Label Coffee Liqueur
70,American Amaretto
71,Apple Schnapps
72,Grape Schnapps
73,Watermelon Schnapps
74,Peach Schnapps
75,Raspberry Schnapps
76,Tropical Fruit Schnapps
77,Private Label Creme De Cacao Da
78,Dark Creme De Cacao
79,Private Label Creme De Cacao Wh
80,White Creme De Cacao
81,Private Label Creme De Menthe G
82,Green Creme De Menthe
83,Private Label Creme De Menthe W
84,White Creme De Menthe
85,Creme De Almond
86,Private Label Peppermint Schnap
87,Private Label Peach Schnapps
88,Butterscotch Schnapps
89,Spearmint Schnapps
90,Lemonade Schnapps
91,Root Beer Schnapps
92,Apricot Schnapps
93,Strawberry Schnapps
94,Anisette
95,Rock & Rye
96,Private Label Triple Sec
97,Private Label Tequila
98,Amaretto - Imported
99,High Proof Beer - American
100,Specialty Items - Spirits - Ame
101,Imported Vodka - Cherry
